Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P30153,105,PPP2R1A,18276.3,19871.7,20340.4,19599.1,19507.0,20203.3,20255.4,20992.7,19963.4
P11413,90,G6PD,18504.9,18834.5,20469.5,18312.7,20389.8,18268.1,18421.6,18892.1,19882.4
P08133,93,ANXA6,25666.9,23614.3,24429.2,23364.8,24629.0,22362.3,23695.6,24914.9,24462.7
P52907,83,CAPZA1,9893.8,10839.6,11122.1,10626.6,11219.9,11000.0,10909.4,11593.3,11191.3
Q9Y265,79,RUVBL1,12273.4,15160.2,15640.8,16648.0,15828.1,16450.9,15820.8,15180.4,15029.5
O75874,129,IDH1,27337.7,30872.8,31017.5,29141.4,30240.3,31295.4,31937.2,33115.4,29657.7
P14735,99,IDE,25486.0,26019.7,25315.4,26336.8,25435.2,27116.5,27276.7,26843.4,26741.7
O43776,95,NARS1,17904.7,19665.9,20480.3,19187.5,21439.3,20618.3,20284.1,20503.8,19256.8
P46109,113,CRKL,16745.1,18929.1,19035.4,17703.9,19012.7,18587.0,19030.6,19999.1,17932.7
Q16222,62,UAP1,11584.6,11724.3,11643.1,11148.0,12059.9,11653.4,11466.2,11773.5,11608.6
P42566,70,EPS15,11827.9,13041.4,12917.2,12191.4,13096.1,12294.8,13118.6,14016.5,13510.0
Q15365,88,PCBP1,15277.3,14614.8,14799.0,14915.2,13324.3,15098.7,15327.5,15533.3,13804.5
P43487,101,RANBP1,24704.9,32792.6,35754.3,33021.9,34939.2,33511.1,35798.4,35009.9,30344.9
P42765,76,ACAA2,17123.4,16575.5,17029.5,16492.5,17088.3,18175.3,17055.4,17513.5,17626.0
P22314,86,UBA1,12291.0,13279.8,12931.5,14732.8,13086.3,13523.7,12869.3,10628.2,12930.5
P45974,85,USP5,17429.1,16751.3,16741.7,16100.5,16168.9,16633.7,16973.2,17285.1,17018.7
Q9Y4L1,76,HYOU1,15532.0,15054.1,14352.8,16616.7,14290.7,15127.4,15020.8,13161.5,16248.4
Q96KP4,70,CNDP2,17325.9,17998.6,17788.8,17796.6,16586.7,19324.4,19499.2,19612.6,17874.4
Q10567,80,AP1B1,15262.2,16150.8,16361.4,16070.5,16444.7,15840.5,16109.6,16158.6,16218.9
P37802,120,TAGLN2,25621.5,23136.3,22060.1,21697.3,22136.7,22205.3,23109.4,23273.1,20772.1
Q9BT78,78,COPS4,18634.2,17837.9,17644.3,17577.7,17523.2,18196.1,17745.0,18160.8,18105.5
P37837,134,TALDO1,39024.0,39360.5,39922.2,39903.3,40303.0,40157.9,39425.2,40366.1,39887.4
Q00839,81,HNRNPU,7292.5,7925.2,7977.8,9302.2,8283.1,8232.0,7920.0,3918.6,7291.2
