,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
668,Q13162,PRDX4,1.0346851452156463,0.9919245793269231,1.1976524043922756,1.2053515082670705,1.2074971601666036,1.2073288737431107,0.9664775846294602,1.0848574349653526,1.2074971601666036,1.0346851452156463,1.1496066304850856,1.1976524043922756,1.1496066304850856,1.2073288737431107,1.1976524043922756
669,O14802,POLR3A,1.1147672731331624,1.0979796852327268,0.9993102727557738,1.1304609889496595,1.0885813148788928,1.019890404082657,1.0979796852327268,1.1147672731331624,1.0680879562451167,1.0367899272149252,1.0979796852327268,1.0286957249226136,1.1066190423038287,1.0680879562451167,1.0006902032962437
670,Q13409,DYNC1I2,1.0472235281826257,1.1005850702606697,1.1460012576459155,1.218373063511119,1.14560109758189,1.1393700337277768,0.9963307049730659,1.003682808337251,1.0983536271651517,1.0411638719114036,1.1460012576459155,1.218373063511119,1.14560109758189,1.2043960441319386,1.1393700337277768
671,P32929,CTH,1.0433536747147785,1.0610241443353674,1.0433536747147785,0.9669204694499804,1.0346868669074254,1.038418678694614,1.0610241443353674,1.0346868669074254,1.0681524719200495,1.0433536747147785,1.0388962589546298,1.0347749181922703,1.0391262221439268,1.0681524719200495,1.0342112217035144
672,P28066,PSMA5,1.211548950095446,1.0460009716027028,1.0773484078964801,1.1533659277727997,0.9560220565261817,1.1660368537925123,1.2523666679652499,1.1660368537925123,1.0574923817515347,1.211548950095446,1.1660368537925123,1.1611769059955588,1.211548950095446,1.05308483858146,1.1879309673146596
673,Q9BWU0,SLC4A1AP,1.1503167184645677,1.1310051956062726,1.0162651886591345,1.1844558847951412,1.1844558847951412,1.0935408228522703,1.131716922492942,1.1844558847951412,1.1391663305734145,0.9839951335137289,1.1503167184645677,1.0169047111490088,1.1503167184645677,1.1391663305734145,1.023598379876359
674,O00154,ACOT7,1.101514544969309,1.1161300423856761,1.1078094769451,0.9388624404911049,1.0837760157464462,1.0776176496752958,1.0712056991399845,1.0837760157464462,1.0837760157464462,1.1078094769451,1.0837760157464462,0.9692919581361759,1.0712056991399845,1.0651187616760076,1.0712056991399845
675,P31689,DNAJA1,1.0711640380563183,1.0997382031798737,1.0966170942964537,1.1258702402353324,1.1229612681810752,1.1150678215394674,0.9987245711370448,1.0891865142711195,1.1150678215394674,1.0012770576591532,1.1150678215394674,1.1258702402353324,1.0966170942964537,1.1801928419676417,1.0250694557934303
676,P22626,HNRNPA2B1,2.009572975140337,1.8979049719326382,1.0816853902021053,1.9587510024057737,1.9930834001603848,1.092973913989609,1.8979049719326382,1.9587510024057737,1.9930834001603848,1.0300301934009737,2.009572975140337,0.970845327065783,1.9587510024057737,1.9930834001603848,1.0340287789353426
677,Q8TF05,PPP4R1,1.0351404827859123,0.9905725093588914,1.11938409618224,1.0805737186247628,1.091816072558532,1.11938409618224,0.9865313292992387,1.0136525524337159,1.091816072558532,1.0351404827859123,1.091816072558532,1.11938409618224,1.0805737186247628,1.1373971735920692,1.0805737186247628
